student_id,tutor_id,rating
77,166,2.6
92,110,2.5
96,62,2.0
15,103,2.9
81,199,3.6
88,89,3.7
87,87,2.9
74,59,1.8
96,108,1.8
39,153,4.0
47,6,3.8
35,142,2.3
69,4,3.4
54,189,2.9
10,37,2.4
86,96,3.1
85,196,4.4
10,86,2.9
61,184,3.9
61,159,3.8
51,193,3.7
8,140,4.1
23,3,3.6
62,196,2.5
96,146,2.4
91,11,3.4
49,135,3.1
95,121,3.8
28,40,2.2
82,1,2.0
31,13,3.0
9,31,4.1
81,34,3.0
32,190,3.3
29,188,3.5
40,60,3.5
86,152,2.7
99,49,3.1
53,128,4.1
94,184,2.1
58,185,2.0
95,50,4.0
83,196,3.1
26,77,3.6
100,139,3.3
58,167,2.1
15,192,4.9
31,186,3.0
88,172,2.1
84,90,4.0
13,190,3.0
39,134,3.2
30,33,3.8
68,6,4.1
25,197,3.0
11,140,3.8
45,80,1.7
94,44,4.2
19,80,3.5
21,176,4.8
16,147,3.0
45,194,2.8
22,86,2.6
60,98,3.2
68,14,2.1
80,39,3.8
6,179,4.3
43,113,2.3
66,123,3.3
72,111,3.6
78,176,4.1
51,26,2.4
65,177,2.0
78,8,3.9
39,162,3.5
35,135,3.9
14,115,3.7
95,125,1.8
20,12,3.0
19,156,3.4
56,131,5.0
39,22,4.3
99,95,3.6
37,53,3.7
39,108,4.5
14,163,3.2
99,137,2.3
61,137,3.9
15,118,2.8
72,115,3.7
97,168,2.8
46,6,3.9
9,169,3.5
78,104,4.3
18,194,3.8
76,176,2.0
61,71,2.9
97,172,2.4
53,193,4.0
27,189,3.2
14,166,2.4
36,166,3.1
73,176,3.8
30,169,2.4
3,135,4.5
56,39,3.8
21,12,2.4
87,156,2.6
67,42,3.6
16,108,3.6
88,9,2.5
69,154,2.8
33,11,3.4
82,22,2.9
30,37,3.1
42,169,4.6
4,132,2.5
38,111,2.5
80,167,2.8
14,185,3.4
5,47,2.3
30,154,4.0
32,98,3.4
93,173,2.7
94,14,1.9
58,145,4.3
47,103,3.8
85,69,2.8
10,12,3.4
58,61,3.0
89,139,4.0
74,3,4.1
22,139,4.5
26,193,2.6
24,35,4.2
81,148,2.1
49,83,2.3
43,8,3.1
10,168,3.2
5,45,4.0
57,81,3.7
5,186,2.2
73,19,4.8
95,195,2.0
2,70,3.4
36,15,4.9
64,74,3.2
14,157,2.6
33,177,3.0
5,6,3.1
16,193,3.1
5,114,2.3
9,82,1.7
88,162,1.7
85,72,2.3
74,45,3.3
70,189,4.3
11,113,4.4
20,52,3.8
60,181,2.4
83,77,1.8
63,20,2.6
83,42,2.5
17,7,2.8
66,113,3.8
76,199,3.3
28,46,3.2
25,62,2.8
1,182,3.8
5,9,3.6
86,18,2.5
20,34,3.2
80,32,4.0
39,101,3.4
4,36,2.7
84,19,2.1
73,188,4.1
30,55,2.2
16,179,2.9
82,68,4.0
5,95,3.4
33,23,3.0
54,132,2.6
67,12,3.9
37,118,4.0
27,187,3.6
84,144,3.7
77,192,3.4
31,1,4.3
81,163,3.9
20,196,4.1
20,125,3.9
36,130,3.8
92,1,4.1
93,10,2.0
12,116,3.5
12,96,2.5
39,6,4.3
45,1,5.0
30,172,1.7
36,109,2.8
45,188,2.8
45,149,2.6
8,21,3.9
10,70,2.3
70,111,3.2
48,49,2.2
42,12,3.7
79,137,2.4
44,104,2.6
53,126,3.6
3,93,3.6
44,83,2.1
40,76,3.3
44,171,4.6
62,61,2.9
92,52,3.9
25,141,3.0
73,109,3.2
5,193,4.1
93,64,3.3
45,120,3.0
95,110,2.3
41,191,4.0
79,190,2.5
50,84,4.6
2,57,2.4
31,52,2.4
15,66,2.5
64,95,2.1
18,20,4.5
9,53,2.0
11,156,4.0
31,177,3.4
6,172,3.3
13,199,3.2
16,192,2.4
78,109,3.3
31,33,3.0
79,26,3.0
72,62,3.3
77,198,3.4
88,75,2.4
97,63,4.3
70,131,3.5
36,102,3.6
29,83,3.3
16,71,4.1
43,115,3.6
87,186,3.6
90,153,4.3
99,7,3.3
77,155,4.2
99,171,4.9
25,60,3.0
73,11,2.3
15,195,4.1
2,179,4.8
4,92,3.8
75,8,4.7
34,103,2.2
14,65,3.7
21,160,2.2
72,171,3.3
1,58,3.3
67,153,4.1
59,180,2.7
4,59,1.8
53,72,2.4
37,113,4.6
42,154,3.6
45,10,3.2
16,162,3.3
83,71,4.1
31,128,3.8
100,77,3.5
88,152,3.7
34,113,3.2
13,46,4.5
40,81,3.0
86,8,2.9
76,87,3.2
88,141,3.2
15,106,3.7
72,97,2.5
85,8,5.0
77,174,3.5
2,144,2.4
61,16,4.1
9,147,4.4
40,39,4.3
19,17,3.2
32,60,4.9
34,35,3.1
91,25,3.5
21,113,3.9
14,178,4.1
43,156,3.2
20,191,3.4
91,194,3.5
7,196,2.5
54,112,3.2
73,68,2.6
67,45,3.0
66,111,4.2
10,24,3.7
7,33,2.9
7,144,4.2
34,17,2.7
98,47,3.2
38,6,2.7
25,66,3.5
9,23,5.0
